line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
813;bji;Burji;Burji language;regular;cus-hec;Highland East Cushitic;;;;Latn,Ethi;;
814;bjj;Kannauji;Kannauji language;regular;inc-cen;Central Indo-Aryan;;;;Deva;;
815;bjk;Barok;Barok language;regular;poz-ocw;Western Oceanic;;;;Latn;;
816;bjl;Bulu (New Guinea);Bulu (New Guinea) language;regular;poz-ocw;Western Oceanic;;;;Latn;;
817;bjm;Bajelani;Bajelani language;regular;ira-zgr;Zaza-Gorani;;;;Latn,Arab;;
818;bjn;Banjarese;Banjarese language;regular;poz-mly;Malayic;;;;Latn,Arab;;
819;bjo;Mid-Southern Banda;Mid-Southern Banda language;regular;bad-cnt;Central Banda;;;;Latn;;
820;bjp;Fanamaket;Fanamaket language;regular;poz-oce;Oceanic;;;;Latn;;
821;bjr;Binumarien;Binumarien language;regular;paa-kag;Kainantu-Goroka;;;;Latn;;
822;bjs;Bajan;Bajan language;regular;crp;creole or pidgin;;;;Latn;Barbadian,Barbadian Creole,Barbadian Creole English;
823;bjt;Balanta-Ganja;Balanta-Ganja language;regular;alv-bak;Bak;;;;Arab,Latn;;
824;bju;Busuu;Busuu language;regular;nic-fru;Furu;;;;Latn;;
825;bjv;Bedjond;Bedjond language;regular;csu-sar;Sara;;;;Latn;;
826;bjw;Bakwé;Bakwé language;regular;kro-ekr;Eastern Kru;;;;Latn;;
827;bjx;Banao Itneg;Banao Itneg language;regular;phi;Philippine;;;;Latn;;
828;bjy;Bayali;Bayali language;regular;aus-pam;Pama-Nyungan;;;;Latn;;
829;bjz;Baruga;Baruga language;regular;ngf;Trans-New Guinea;;;;Latn;;
830;bka;Kyak;Kyak language;regular;alv-bwj;Bikwin-Jen;;;;Latn;Nyakyak,Bambuka;
831;bkc;Baka;Baka language;regular;nic-nkb;Baka;;;;Latn;;
832;bkd;Binukid;Binukid language;regular;mno;Manobo;;;;Latn;;
833;bkf;Beeke;Beeke language;regular;bnt-kbi;Komo-Bira;;;;Latn;;
834;bkg;Buraka;Buraka language;regular;nic-nkg;Gbanziri;;;;Latn;;
835;bkh;Bakoko;Bakoko language;regular;bnt-bsa;Basaa;;;;Latn;;
836;bki;Baki;Baki language;regular;poz-vnc;North-Central Vanuatu;;;;Latn;;
837;bkj;Pande;Pande language;regular;bnt-ngn;Ngondi-Ngiri;;;;Latn;Pande-Gongo;
838;bkk;Brokskat;Brokskat language;regular;inc-shn;Shinaic;;;;;;
839;bkl;Berik;Berik language;regular;paa-tkw;Tor-Kwerba;;;;Latn;;
840;bkm;Kom (Cameroon);Kom (Cameroon) language;regular;nic-rnc;Central Ring;;;;Latn;;
841;bkn;Bukitan;Bukitan language;regular;poz-bnn;North Bornean;;;;Latn;;
842;bko;Kwa';Kwa' language;regular;bai;Bamileke;;;;Latn;;
843;bkp;Iboko;Iboko language;regular;bnt-ngn;Ngondi-Ngiri;;;;Latn;;
844;bkq;Bakairí;Bakairí language;regular;sai-pek;Pekodian;;;;Latn;;
845;bkr;Bakumpai;Bakumpai language;regular;poz-brw;West Barito;;;;Latn;;
846;bks;Masbate Sorsogon;Masbate Sorsogon language;regular;phi;Philippine;;;;Latn;;
847;bkt;Boloki;Boloki language;regular;bnt-zbi;Zamba-Binza;;;;Latn;;
848;bku;Buhid;Buhid language;regular;phi;Philippine;;;;Buhd;;
849;bkv;Bekwarra;Bekwarra language;regular;nic-ben;Bendi;;;;Latn;;
850;bkw;Bekwel;Bekwel language;regular;bnt-bek;Bekwilic;;;;Latn;;
851;bkx;Baikeno;Baikeno language;regular;poz-tim;Timoric;;;;Latn;;
852;bky;Bokyi;Bokyi language;regular;nic-ben;Bendi;;;;Latn;;
853;bkz;Bungku;Bungku language;regular;poz-btk;Bungku-Tolaki;;;;Latn;;
854;bla;Blackfoot;Blackfoot language;regular;alg;Algonquian;;;;Latn,Cans;Siksika,Blackfeet;
855;blb;Bilua;Bilua language;regular;ngf;Trans-New Guinea;;;;Latn;;
856;blc;Bella Coola;Bella Coola language;regular;sal;Salishan;;;;Latn;;
857;bld;Bolango;Bolango language;regular;phi;Philippine;;;;Latn;;
858;ble;Balanta-Kentohe;Balanta-Kentohe language;regular;alv-bak;Bak;;;;Latn;;
859;blf;Buol;Buol language;regular;phi;Philippine;;;;Latn;;
860;blg;Balau;Balau language;regular;poz-mly;Malayic;;;;Latn;;
861;blh;Kuwaa;Kuwaa language;regular;kro;Kru;;;;Latn;Belle,Belleh,Kowaao,Kwaa;
862;bli;Bolia;Bolia language;regular;bnt-mon;Mongo;;;;Latn;Lia;
863;blj;Bolongan;Bolongan language;regular;poz;Malayo-Polynesian;;;;Latn;;
864;blk;Pa'o Karen;Pa'o Karen language;regular;kar;Karen;;;;Mymr;;
865;bll;Biloxi;Biloxi language;regular;sio-ohv;Ohio Valley Siouan;;;;Latn;;
866;blm;Beli;Beli language;regular;csu-bbk;Bongo-Baka;;;;Latn;Behli,Beili,Jur Beli,Beli (Sudan),Beli (South Sudan);
867;bln;Southern Catanduanes Bicolano;Southern Catanduanes Bicolano language;regular;phi;Philippine;;;;Latn;Virac;
868;blo;Anii;Anii language;regular;alv-ntg;Na-Togo;;;;Latn;Bassila,Basila,Baseca,Ouinji-Ouinji,Winji-Winji;
869;blp;Blablanga;Blablanga language;regular;poz-ocw;Western Oceanic;;;;Latn;;
870;blq;Baluan-Pam;Baluan-Pam language;regular;poz-aay;Admiralty Islands;;;;Latn;;
871;blr;Blang;Blang language;regular;mkh-pal;Palaungic;sortkey;;;Latn,Tale,Lana,Thai;Bulang,Pulang,Kontoi,Shinman;
872;bls;Balaesang;Balaesang language;regular;poz;Malayo-Polynesian;;;;Latn;;
873;blt;Tai Dam;Tai Dam language;regular;tai-swe;Southwestern Tai;sortkey;;;Tavt,Latn;;
874;blv;Kibala;Kibala language;regular;bnt-kmb;Kimbundu;;;;Latn;Bolo,Ngoya,Kibala-Ngoya;
875;blw;Balangao;Balangao language;regular;phi;Philippine;;;;Latn;;
876;blx;Mag-Indi Ayta;Mag-Indi Ayta language;regular;phi;Philippine;;;;Latn;;
877;bly;Notre;Notre language;regular;nic-wov;Western Oti-Volta;;;;Latn;;
878;blz;Balantak;Balantak language;regular;poz-slb;Saluan-Banggai;;;;Latn;;
879;bm;Bambara;Bambara language;regular;dmn-emn;East Manding;sortkey;;;Latn;;
880;bma;Lame;Lame language;regular;nic-jrn;Jarawan;;;;Latn;;
881;bmb;Bembe;Bembe language;regular;bnt-lgb;Lega-Binja;;;;Latn;Bemba,Kinyabemba;
882;bmc;Biem;Biem language;regular;poz-ocw;Western Oceanic;;;;Latn;;
883;bmd;Baga Manduri;Baga Manduri language;regular;alv-bag;Baga;;;;Latn;;
884;bme;Limassa;Limassa language;regular;nic-nkb;Baka;;;;Latn;;
885;bmf;Bom;Bom language;regular;alv-mel;Mel;;;;Latn;;
886;bmg;Bamwe;Bamwe language;regular;bnt-bun;Buja-Ngombe;;;;Latn;;
887;bmh;Kein;Kein language;regular;ngf-mad;Madang;;;;Latn;Bemal;
888;bmi;Bagirmi;Bagirmi language;regular;csu-bgr;Bagirmi;;;;Latn;;
889;bmj;Bote-Majhi;Bote-Majhi language;regular;inc-eas;Eastern Indo-Aryan;;;;Deva;;
890;bmk;Ghayavi;Ghayavi language;regular;poz-ocw;Western Oceanic;;;;Latn;;
891;bml;Bomboli;Bomboli language;regular;bnt-ngn;Ngondi-Ngiri;;;;Latn;;
892;bmn;Bina;Bina language;regular;poz-ocw;Western Oceanic;;;;Latn;;
893;bmo;Bambalang;Bambalang language;regular;nic-nun;Nun;;;;Latn;;
894;bmp;Bulgebi;Bulgebi language;regular;ngf-fin;Finisterre;;;;Latn;;
895;bmq;Bomu;Bomu language;regular;nic-bwa;Bwa;;;;Latn;;
896;bmr;Muinane;Muinane language;regular;sai-bor;Boran;;;;Latn;;
897;bmt;Biao Mon;Biao Mon language;regular;hmx-mie;Mien;;;;;;
898;bmu;Somba-Siawari;Somba-Siawari language;regular;ngf;Trans-New Guinea;;;;Latn;;
899;bmv;Bum;Bum language;regular;nic-rnc;Central Ring;;;;Latn;;
900;bmw;Bomwali;Bomwali language;regular;bnt-ndb;Ndzem-Bomwali;;;;Latn;;
901;bmx;Baimak;Baimak language;regular;ngf-mad;Madang;;;;Latn;;
